"loc","year","plot","gen","rep","trt","DHE","DMA","PLH","GYLD","TKW"
"Bekoji","y2005","p39","EH1893","r3","t4",97,163,105,4665,46.8
"Bekoji","y2005","p40","Beka","r3","t15",97,163,105,3519,42
"Bekoji","y2005","p41","EH1877","r3","t6",87,163,95,5586,56.6
"Bekoji","y2005","p42","EH1505","r3","t3",92,163,90,4594,57
"Bekoji","y2005","p43","EH1900","r3","t2",95,161,105,3998,53.6
"Bekoji","y2005","p44","F2SXS13395","r3","t12",92,161,95,4546,59.2
"Bekoji","y2005","p45","HB120","r3","t14",102,163,110,4010,44.2
"Bekoji","y2005","p46","EH1551","r4","t8",85,161,100,3993,60.4
"Bekoji","y2005","p47","IBON2796","r4","t11",83,159,95,4606,54.8
"Bekoji","y2005","p48","BNEth019","r4","t13",85,159,100,4767,55.2
"Bekoji","y2005","p49","EH1900","r4","t2",87,161,105,5112,50.6
"Bekoji","y2005","p50","EH18472","r4","t9",97,161,115,4495,51.6
"Bekoji","y2005","p51","Beka","r4","t15",102,163,117,4717,41.8
"Bekoji","y2005","p52","HB120","r4","t14",104,163,115,4347,44
"Bekoji","y2005","p53","EH1877","r4","t6",87,161,90,5851,56.6
"Bekoji","y2005","p54","EH1869","r4","t7",97,161,105,5538,54.6
"Bekoji","y2005","p55","EH1893","r4","t4",107,163,100,5016,48.6
"Bekoji","y2005","p56","EH1864","r4","t10",97,161,90,5063,53.2
"Bekoji","y2005","p57","IBON4499","r4","t5",87,159,100,5184,60.2
"Bekoji","y2005","p58","F2SXS13395","r4","t12",87,161,105,4769,58
"Bekoji","y2005","p59","EH1505","r4","t3",91,161,100,3424,57
"Bekoji","y2005","p60","EH1847","r4","t1",87,159,107,4631,52.4
"Holetta","y2006","p1","EH1877","r1","t6",81,119,92,2480,50
"Holetta","y2006","p2","EH1505","r1","t3",77,119,105,2745,54
"Holetta","y2006","p3","EH1900","r1","t2",67,115,115,2590,48
"Holetta","y2006","p4","IBON2796","r1","t11",64,113,88,3000,49
"Holetta","y2006","p5","EH1869","r1","t7",83,126,113,3670,51
"Holetta","y2006","p6","EH1893","r1","t4",82,121,112,3375,39
"Holetta","y2006","p7","EH1864","r1","t10",82,125,83,2070,46
"Holetta","y2006","p8","EH1847","r1","t1",80,121,110,3160,48
"Holetta","y2006","p9","IBON4499","r1","t5",80,120,112,2630,55
"Holetta","y2006","p10","F2SXS13395","r1","t12",80,124,100,2355,50
"Holetta","y2006","p11","Beka","r1","t15",82,128,118,2770,43
"Holetta","y2006","p12","HB120","r1","t14",83,130,118,2170,42
"Holetta","y2006","p13","EH1551","r1","t8",67,112,103,1620,32
"Holetta","y2006","p14","BNEth019","r1","t13",66,116,93,2050,44
"Holetta","y2006","p15","EH18472","r1","t9",83,125,105,2455,48
"Holetta","y2006","p16","EH1893","r2","t4",82,125,108,3480,44
"Holetta","y2006","p17","Beka","r2","t15",83,126,108,1450,39
"Holetta","y2006","p18","BNEth019","r2","t13",67,116,92,2385,49
"Holetta","y2006","p19","IBON4499","r2","t5",80,120,118,3295,54
"Holetta","y2006","p20","EH18472","r2","t9",82,126,123,3360,51
"Holetta","y2006","p21","HB120","r2","t14",80,128,122,2695,42
"Holetta","y2006","p22","EH1864","r2","t10",81,121,95,2090,48
"Holetta","y2006","p23","EH1877","r2","t6",83,114,103,3220,52
"Holetta","y2006","p24","EH1869","r2","t7",83,128,105,3015,49
"Holetta","y2006","p25","F2SXS13395","r2","t12",80,125,100,2700,50
"Holetta","y2006","p26","EH1900","r2","t2",80,125,110,2915,49
"Holetta","y2006","p27","IBON2796","r2","t11",65,121,85,2755,49
"Holetta","y2006","p28","EH1505","r2","t3",80,120,112,3140,56
"Holetta","y2006","p29","EH1847","r2","t1",66,122,115,3030,48
"Holetta","y2006","p30","EH1551","r2","t8",65,110,102,2160,34
"Holetta","y2006","p31","IBON2796","r3","t11",80,117,88,2750,50
"Holetta","y2006","p32","EH18472","r3","t9",81,126,125,2985,48
"Holetta","y2006","p33","BNEth019","r3","t13",65,113,105,3285,50
"Holetta","y2006","p34","IBON4499","r3","t5",80,119,110,2375,55
"Holetta","y2006","p35","EH1847","r3","t1",80,122,108,3670,52
"Holetta","y2006","p36","EH1864","r3","t10",83,122,90,2395,48
"Holetta","y2006","p37","EH1869","r3","t7",83,128,115,2935,47
"Holetta","y2006","p38","EH1551","r3","t8",66,123,97,1710,30
"Holetta","y2006","p39","EH1893","r3","t4",82,125,112,3315,47
"Holetta","y2006","p40","Beka","r3","t15",82,125,123,3110,42
"Holetta","y2006","p41","EH1877","r3","t6",83,120,105,3195,52
"Holetta","y2006","p42","EH1505","r3","t3",79,122,97,2860,57
"Holetta","y2006","p43","EH1900","r3","t2",79,123,113,2965,50
"Holetta","y2006","p44","F2SXS13395","r3","t12",82,128,98,2770,52
"Holetta","y2006","p45","HB120","r3","t14",82,128,113,2620,44
"Holetta","y2006","p46","EH1551","r4","t8",65,111,100,2030,25
"Holetta","y2006","p47","IBON2796","r4","t11",63,115,83,2560,50
"Holetta","y2006","p48","BNEth019","r4","t13",63,117,97,3870,53
"Holetta","y2006","p49","EH1900","r4","t2",66,118,110,4080,51
"Holetta","y2006","p50","EH18472","r4","t9",80,123,127,3680,49
"Holetta","y2006","p51","Beka","r4","t15",83,128,120,3010,43
"Holetta","y2006","p52","HB120","r4","t14",81,128,120,2975,45
"Holetta","y2006","p53","EH1877","r4","t6",82,125,105,2735,52
"Holetta","y2006","p54","EH1869","r4","t7",83,128,110,3355,44
"Holetta","y2006","p55","EH1893","r4","t4",81,126,108,3440,45
"Holetta","y2006","p56","EH1864","r4","t10",83,126,88,3020,46
"Holetta","y2006","p57","IBON4499","r4","t5",80,120,108,3500,54
"Holetta","y2006","p58","F2SXS13395","r4","t12",81,117,90,2080,44
"Holetta","y2006","p59","EH1505","r4","t3",79,121,102,2795,56
"Holetta","y2006","p60","EH1847","r4","t1",80,119,117,4130,50
"Bekoji","y2006","p1","EH1877","r1","t6",91,143,115,4344,51.8
"Bekoji","y2006","p2","EH1505","r1","t3",90,145,115,4106,53.6
"Bekoji","y2006","p3","EH1900","r1","t2",90,151,125,5115,50.8
"Bekoji","y2006","p4","IBON2796","r1","t11",85,151,105,5391,45
"Bekoji","y2006","p5","EH1869","r1","t7",97,161,120,5812,54.4
"Bekoji","y2006","p6","EH1893","r1","t4",99,162,120,4939,46.6
"Bekoji","y2006","p7","EH1864","r1","t10",97,155,115,4395,52.4
"Bekoji","y2006","p8","EH1847","r1","t1",92,153,125,5058,53.2
"Bekoji","y2006","p9","IBON4499","r1","t5",92,147,135,4516,53
"Bekoji","y2006","p10","F2SXS13395","r1","t12",91,156,120,5839,57.6
"Bekoji","y2006","p11","Beka","r1","t15",99,166,135,5455,44.4
"Bekoji","y2006","p12","HB120","r1","t14",96,158,135,5695,42
"Bekoji","y2006","p13","EH1551","r1","t8",111,141,125,3316,35
